Make,Model,Vehicle Class,Engine Size (L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions (g/km)
Honda,Model C,Sedan,3.2,4,M5,X,13.68,14.58,16.06,16.13,295.9
Toyota,Model A,Sedan,4.9,8,M6,X,5.82,14.61,16.41,24.48,250.68
Toyota,Model C,SUV,4.2,6,A6,Z,9.71,7.18,12.14,24.42,316.45
Ford,Model A,Sedan,4.4,8,M5,X,12.49,9.28,13.53,34,101.78
Ford,Model B,Compact,1.7,4,M6,Z,8.25,14.7,9.97,18.17,277.73
Toyota,Model B,Truck,2.2,6,A8,Z,18.09,4.05,8.66,33.86,354.22
BMW,Model A,Compact,4.9,8,M6,X,6.31,8.54,14.39,17.85,207.07
Ford,Model C,SUV,5.9,8,M5,X,12.31,5.11,16.2,17.85,132.49
Honda,Model A,Compact,2.3,8,A6,Z,15.37,9.6,13.5,36.85,226.26
Ford,Model C,Truck,2.4,6,M5,X,8.93,4.27,11.65,24.72,318.13
Ford,Model B,Compact,3.4,6,M5,Z,14.36,8.48,7.07,44.32,132.19
Honda,Model C,SUV,5.9,4,M6,Z,17.44,6.43,5.69,16.12,161.81
Toyota,Model B,Sedan,2.3,6,A8,Z,7.86,9.87,10.79,28.35,144.27
Honda,Model C,Compact,3,6,M5,X,18.76,14.96,5.64,18.39,339.08
Toyota,Model C,SUV,5.5,8,A8,Z,13.3,12.81,12.4,25.54,118.87
Toyota,Model C,SUV,1,6,M6,Z,9.49,13.3,9.98,44.95,305.98
Toyota,Model A,Truck,1.2,8,A8,Z,11.46,10.99,14.84,41.67,209.94
Honda,Model A,Truck,4,8,M6,Z,9.68,4.46,8.97,16.45,326.74
Toyota,Model B,Compact,5.5,6,A6,Z,15.88,6.27,12.71,31.9,389.32
BMW,Model B,Sedan,2.2,4,A8,Z,16.94,14.18,11.99,34.43,134.36
Honda,Model A,SUV,3.3,4,A8,Z,17.49,8.03,5.06,21.29,194.32
BMW,Model B,Compact,3.3,6,A6,Z,19.79,5.14,5.94,19.35,343.04
Toyota,Model A,SUV,3.4,4,A8,Z,16.87,11.73,8.77,42.13,179.85
Ford,Model C,SUV,4.1,8,A6,Z,14.02,7.29,16.47,44.06,164.54
Toyota,Model B,Sedan,3.3,8,M5,Z,10.09,6.96,6.91,44.76,347.61
BMW,Model B,Sedan,3.2,6,M6,X,13.17,14.98,14.24,38.69,396.12
BMW,Model A,Compact,3.4,4,A6,Z,5.62,13.44,17.65,34.91,267.06
Honda,Model B,Sedan,4,4,A8,Z,16.17,8.49,15.28,25.37,183.41
Ford,Model B,Sedan,3.7,8,A6,Z,11.69,14.78,8.16,20.14,219.57
Honda,Model C,Compact,5.3,6,A8,X,5.3,11.15,16.81,17.37,151.04
BMW,Model B,Sedan,1.2,4,M5,Z,5.94,12.16,6.21,35.8,328.57
Toyota,Model C,Truck,5.2,6,A6,X,10.81,4.35,11.09,38.54,332.04
Ford,Model A,SUV,5.2,4,M5,Z,13.75,5.34,16.54,39.79,362.54
Toyota,Model B,SUV,2.4,8,M6,Z,11.96,10.96,13.34,42.41,107.98
Toyota,Model C,SUV,3.3,8,A8,X,14.29,13.89,10.38,41.4,268.59
Ford,Model A,SUV,3.2,6,A8,Z,12.2,10.86,8.81,44.99,164.28
Honda,Model B,Compact,2.1,8,M5,X,14.93,5.47,9.88,22.32,202.26
Toyota,Model A,SUV,3,4,M6,X,8.29,5.27,11.62,37.9,335.49
BMW,Model B,SUV,1.2,8,A6,Z,6.69,13.29,9.15,32.59,157.61
Toyota,Model A,SUV,2.4,6,A6,Z,13.95,5.53,17.6,22.84,291.5
Ford,Model A,SUV,5.1,6,A8,Z,12.27,9.72,17.13,44.46,296.37
Ford,Model C,Truck,2.4,6,M5,Z,5.4,4.41,16.32,41.94,386.23
Ford,Model A,SUV,5.1,4,M5,X,10.71,4.89,10.48,18.86,332.55
Honda,Model B,Truck,3.7,4,A6,X,6.59,11.4,13.99,15.78,341.09
Toyota,Model B,Compact,5.4,4,M6,Z,12.97,11.58,16.74,35.65,259.48
Honda,Model C,Sedan,3.9,4,M6,X,10.94,7.76,16.06,33.12,156.03
Honda,Model B,SUV,1.1,4,A6,X,14.2,6.37,10.39,43.07,227.67
Ford,Model B,Sedan,4.4,8,A6,Z,17.08,12.95,6.46,22.02,264.85
Ford,Model B,Sedan,1.2,4,M5,X,9.5,6.39,5.98,17.53,303.53
Honda,Model A,Compact,3.3,4,M6,X,19.43,9.96,12.5,22.78,282.31
Toyota,Model A,Sedan,5.6,8,A6,Z,13.03,14.65,13.35,15.57,218.19
BMW,Model B,Truck,1.8,4,A6,X,14.27,5.63,16.05,16.08,179.59
Honda,Model C,Sedan,2.9,6,A8,Z,15.21,14.35,8.8,42.45,150.47
Toyota,Model A,Sedan,4.6,4,A6,X,15,6.01,7.18,25.56,308.15
Ford,Model C,Sedan,5.4,4,A6,Z,12.66,10.24,9.93,27.32,293.62
Ford,Model B,SUV,4.4,6,M6,X,11.43,8.15,9.6,15.55,306.21
Toyota,Model B,SUV,2.3,6,M5,X,5.81,14.61,6.72,23.12,211.76
BMW,Model A,Truck,4.4,6,M6,Z,5.33,7.01,13.74,39.14,178.72
Ford,Model B,Truck,2.5,6,M5,Z,10.37,8.4,11.61,33.46,327.92
Ford,Model A,SUV,4.6,4,A8,Z,10,14.81,14.37,37.61,332.09
Ford,Model B,Truck,5.8,6,A6,Z,10.82,9.9,9.58,28.42,236.68
Toyota,Model B,SUV,4.6,6,A8,X,7.08,9.53,9.23,24.29,283.57
Honda,Model A,Compact,5.3,8,M5,X,16.07,6.84,11.14,29.48,212.06
Ford,Model A,Sedan,1,6,M6,X,17.85,11.71,16.41,24.69,310.58
Honda,Model A,Sedan,4.6,6,M6,Z,19.08,4.16,5.52,40.17,350.72
BMW,Model B,Truck,5.1,8,A8,X,12.39,4.54,15.46,23.93,306.47
Ford,Model B,SUV,1.2,8,M5,X,15.51,10.59,9.8,34.79,253.77
Ford,Model C,SUV,5.4,4,A8,Z,17.83,7.76,16.11,19.11,237.6
BMW,Model A,Truck,2.3,8,A8,Z,11.27,14.49,15.43,35.61,292.7
Ford,Model B,SUV,4.3,4,A6,X,9.64,13.94,9.53,42.4,303.94
Honda,Model B,Compact,5,8,A8,Z,19.05,11.85,14.02,33.26,267.62
Toyota,Model A,Sedan,4.3,8,A6,X,12.74,13,7.08,31.8,287.48
Honda,Model C,Truck,1.5,4,A6,X,12.46,11.34,16.65,43.83,128.98
Toyota,Model A,Truck,4,8,M6,Z,7.68,5.38,10.26,33.82,385.53
Toyota,Model C,SUV,3.7,4,A6,X,6.62,12.42,10.92,22.79,337.23
Honda,Model B,Truck,5.5,8,A6,Z,17.63,6.31,14.17,23.77,212.18
Honda,Model C,Compact,3,6,M6,Z,14.21,7.56,15.67,36.16,268.84
Honda,Model B,SUV,2.6,8,A8,X,9.89,13.01,8.07,37.06,114.2
Honda,Model A,SUV,4.7,4,M5,X,7.88,9.9,13.6,24.1,112.37
BMW,Model A,SUV,3.1,8,M5,X,13.33,13.46,10.1,25.36,175.24
Ford,Model A,SUV,4.2,4,M5,Z,13.76,6.34,9.79,44.73,306.91
Toyota,Model C,Compact,4.2,4,A8,X,8.1,10.69,13.97,18.06,355.64
Honda,Model B,SUV,5.4,6,A6,Z,17.77,4.92,10.03,27.14,267.76
Honda,Model A,Truck,4,6,M5,Z,6.26,11.07,9.5,16.87,259.64
Honda,Model A,Compact,3.5,4,A8,X,10.34,12.39,15.87,39.63,220.69
BMW,Model B,Sedan,1.7,8,A6,Z,15.21,10.43,6.32,17.77,148.48
Honda,Model A,Sedan,1.6,4,M6,X,9.11,6.93,13.79,35.22,135.51
Honda,Model B,Truck,1.8,4,M5,X,17.42,4.34,8.23,16.69,328.2
Honda,Model B,Truck,1.9,8,A6,X,16.1,5.31,5.2,35.19,378.25
Ford,Model B,Compact,4.2,8,M5,X,16.84,10.85,7.17,40.29,237.48
BMW,Model B,Sedan,4.7,8,M5,X,6.79,14.28,12.89,26.96,297.83
Honda,Model B,Sedan,3.6,8,M5,X,7.11,6.27,14.22,30.66,374.34
Toyota,Model C,Sedan,5.1,4,A6,X,9.3,12.09,5.27,27.05,127.03
Toyota,Model A,Sedan,6,4,A8,Z,12.77,13.53,5.47,24.01,331.14
Toyota,Model C,Sedan,5.1,6,A6,X,16.22,9.73,16.73,39.1,285.05
BMW,Model A,SUV,4.5,4,M5,Z,17.55,11.36,5.95,23.16,279.59
BMW,Model C,Truck,3.7,8,A6,Z,15.57,12.97,16.62,36.69,187.76
Toyota,Model B,SUV,3.2,6,M6,Z,18.93,6.87,7.97,21.19,305.17
Honda,Model A,Sedan,1.4,8,A8,X,16.08,7.27,14.62,22.5,338.44
BMW,Model A,Compact,3,4,A6,Z,9.59,4.01,9.03,25.09,133.86
Toyota,Model C,Compact,5.6,6,M6,Z,8.98,14.59,16.16,32.67,260.06
Toyota,Model C,Sedan,5,8,A8,X,15.44,14.09,14.11,28.63,130.38
Honda,Model A,Sedan,2.1,6,M6,X,7.89,12.41,10.22,37.35,361.77
Ford,Model C,Compact,3.3,6,A8,Z,6.39,4.87,5.99,21.41,252.29
BMW,Model C,SUV,5.1,4,A6,X,12.98,8.92,14.53,15.32,342.39
Honda,Model C,SUV,1.3,8,M6,X,17.32,5.12,13.02,38.3,210.43
Toyota,Model B,Sedan,2.9,6,M5,X,6.52,4.18,5.04,39.65,137.52
Toyota,Model B,SUV,5.3,6,M6,X,16.88,10.78,5.12,16.78,112.45
Honda,Model C,Compact,3,8,A8,Z,17.17,14.57,15.51,33.33,184.45
BMW,Model C,SUV,1.4,6,A6,X,12.23,13.93,8.37,26.35,173.27
Ford,Model B,Sedan,3.7,6,A8,X,5.86,11.66,13.27,38.82,268.11
Ford,Model B,Compact,5.3,6,M6,X,7.62,5.06,10.9,41.23,106.52
Toyota,Model A,SUV,4,8,M6,Z,15.61,7.02,16.22,40.53,256.17
BMW,Model A,Truck,2.1,8,M5,Z,15.68,7.52,16.92,38.32,217.53
Ford,Model B,Compact,2.9,8,A6,X,18.48,12.39,17.96,23.07,273.14
BMW,Model C,Compact,3.3,8,A6,X,13.74,12.82,7,39.36,310.73
BMW,Model C,Truck,3.9,4,M6,Z,6.86,8.24,16.22,31,290.23
Toyota,Model C,Truck,4.8,6,A6,X,6.82,8.6,8.46,16.58,395.39
Ford,Model C,Compact,1.5,8,M5,X,15.82,4.49,12.68,28.71,141.48
Honda,Model A,Truck,5.4,6,A8,Z,7.76,7.18,11.58,43.26,228.92
Toyota,Model B,Sedan,1.1,6,A6,X,9.93,8.96,5.23,41.64,227.45
Ford,Model C,Sedan,2.9,4,M6,X,12.31,5.29,17.13,18.07,225.12
Ford,Model A,Sedan,1.1,8,A8,Z,5.37,8.99,6.02,37.32,299.14
Ford,Model C,Compact,3,8,A8,Z,8.73,13.38,13.95,39.17,246.95
Ford,Model B,Truck,3.6,6,M5,X,11.12,10.39,15.21,23.14,255.23
Ford,Model A,Truck,3.6,8,M6,Z,9.19,4.87,15.34,29.15,229.71
BMW,Model B,SUV,1.8,6,A6,X,7.05,6.11,6.76,36.33,397.51
Toyota,Model B,SUV,4.2,6,M6,X,15.92,9.22,10.82,28.17,378.27
BMW,Model A,Truck,1.2,4,A8,X,17.2,7.98,15.78,18.38,192.32
Honda,Model A,Truck,4.8,4,M6,Z,8.86,7.95,8.93,36.18,133.48
Ford,Model A,Truck,5.7,4,A6,Z,16.62,9.82,11.08,42.35,351.93
Toyota,Model A,Compact,2.7,6,A6,X,10.78,10.43,8.55,34.57,399.15
Ford,Model A,Truck,3.6,8,M5,X,12.6,12.77,11.03,38.21,187.78
Toyota,Model A,SUV,2.9,4,A6,Z,17.84,7.75,16.54,25.75,207.34
BMW,Model A,Compact,1,8,A6,Z,16.25,12.86,10.92,20.5,382.49
Toyota,Model C,Truck,2.9,4,M6,Z,17.08,7.72,12.23,34.28,313.34
Honda,Model B,SUV,5,4,M6,X,7.05,4.61,10.25,24.83,188.69
Honda,Model A,Compact,4,6,A8,Z,6.05,10.1,10.98,40.8,274.31
Toyota,Model C,Truck,1.5,4,M5,Z,18.4,10.47,5.2,18.68,383.27
Toyota,Model C,Truck,5.2,4,M6,X,10.82,14.28,8.69,28,343.54
Toyota,Model C,Truck,3.7,6,A6,X,9.32,11.99,10.68,26.9,322.55
Toyota,Model B,Compact,5.2,8,A8,X,15.87,14.1,13.24,43.14,321.1
Honda,Model A,SUV,3.9,4,M6,Z,17.55,13.99,10.85,19.59,153.41
Ford,Model C,SUV,3.8,6,M5,X,17.94,10.65,9.39,15.3,347.4
Toyota,Model B,Sedan,1.5,4,M5,X,9.74,9.81,10.05,22.14,182.84
Toyota,Model B,Truck,1.8,6,A8,X,17.78,10.13,8.15,39.61,379.11
Honda,Model B,Sedan,5.9,8,A8,X,5.61,14.76,17.02,21.28,209.39
Honda,Model C,Sedan,2.1,8,A8,Z,5.74,12.5,11.78,22.23,357.3
BMW,Model A,SUV,5.9,6,A8,X,14.35,5.17,5.17,18.9,179.87
Toyota,Model C,Compact,3.7,6,A8,Z,5.95,12.56,5.25,36.46,254.36
BMW,Model C,Compact,1.7,6,A6,Z,9.87,5.88,17.65,17.08,132.07
Honda,Model A,SUV,1.5,8,A6,Z,15.09,8.92,7.88,24.94,298.04
Honda,Model A,Compact,2,4,M6,X,10.06,6.32,15.47,23.47,350.82
Ford,Model A,Sedan,5.6,8,M5,Z,7.69,11.59,5.76,31.65,315.53
Toyota,Model B,Truck,3.1,6,A6,X,9.22,13.65,16.98,36.91,256.98
BMW,Model A,SUV,3,6,A6,X,11.86,7.19,16.37,30.99,113.53
Honda,Model C,Truck,2.6,8,A6,X,12.13,4.9,12.42,42.93,380.03
Honda,Model A,Compact,1.7,6,M6,Z,16.75,7.28,5.12,43.54,311.65
BMW,Model C,Truck,3.4,8,A8,X,16.25,11.4,8.35,25.84,323.76
Ford,Model B,Compact,1.7,6,M6,X,11.85,7.62,10.29,38.33,338.4
Honda,Model C,Compact,5.2,4,M5,X,17.69,7.06,10.98,37.16,324.32
Toyota,Model C,Sedan,2.9,4,M5,Z,6.71,6.03,8.87,41.79,232.33
Honda,Model A,Compact,2.9,6,M5,Z,8.83,9.47,5.43,28.44,320.09
Toyota,Model A,Sedan,3.4,8,M5,Z,17.42,7.04,12.67,30.91,287.51
BMW,Model C,Sedan,3.2,4,A6,X,10.67,12.04,11.81,27.47,356.2
Toyota,Model A,Sedan,6,8,A6,Z,19.72,4.84,8.68,40.51,340.74
BMW,Model B,SUV,3.7,6,M6,X,11.99,11.3,5.49,21.89,112.41
Toyota,Model B,SUV,1.4,8,A8,X,16.88,6.61,17.93,22.19,213.67
BMW,Model A,Compact,4,4,M5,Z,11.03,9.38,11.27,26.18,110.41
Toyota,Model B,Sedan,1.8,8,M6,X,11.37,7.15,14.83,21.91,130.62
Ford,Model A,SUV,1.2,8,A6,Z,10.74,11.95,10.88,31.83,280.42
Toyota,Model C,Sedan,5.9,6,A6,X,15.79,14.4,5.56,19.03,362.15
Toyota,Model C,Truck,4.9,6,A8,Z,13.21,14.09,9.02,24.61,135.95
Ford,Model B,Truck,5.9,6,A8,X,19.16,10.42,9.16,42.4,235.33
Honda,Model A,Truck,3.4,4,A8,X,8.76,9.09,15.9,27.28,373.26
Honda,Model A,Compact,3.7,4,M6,X,6.51,13,13.5,37.45,344.29
Toyota,Model B,Sedan,1.8,6,A6,X,10.9,11.52,8.58,18.4,255.9
Ford,Model C,Truck,2.2,6,A6,X,14.25,6.02,17.58,22.43,331.47
Toyota,Model B,SUV,5.2,4,A8,Z,17.91,13.03,9.18,39.22,256.81
BMW,Model C,Truck,2.8,4,M5,X,10.19,8.72,17.98,37.89,147.43
BMW,Model A,Truck,5.1,4,A8,Z,14.81,6.08,17.95,26.58,137.42
Toyota,Model C,Truck,4.5,4,M6,Z,10.25,7.1,7.49,43.63,156.51
Honda,Model B,Compact,1.9,6,A8,Z,14.26,6.94,9.07,42.32,205.28
Honda,Model A,SUV,3.5,4,A8,X,18.27,9.71,11.32,43.87,379.16
Toyota,Model B,Sedan,4.4,6,M6,X,8.47,6.58,13.63,27.84,339.9
Toyota,Model B,SUV,2.2,8,A8,X,11.06,5.36,11.86,20.92,229.84
BMW,Model C,Sedan,5.2,8,A6,Z,19.9,5.36,17.6,33.8,247.92
Honda,Model B,Compact,3.7,4,M5,X,18.03,10.42,14.41,35.54,179.68
Toyota,Model C,Compact,1.8,8,A8,X,13.47,12.08,7.76,18.76,311.31
BMW,Model A,Compact,3.9,8,M6,Z,12.75,7.54,6.37,38.59,340.83
Honda,Model C,Compact,6,8,M5,Z,9.27,4.38,13.95,15.54,171.67
Ford,Model A,Sedan,1.8,4,M6,Z,12.76,5.4,7.06,29.48,112.55
BMW,Model C,Truck,5.1,4,M5,Z,17.72,14.06,15.24,24.93,287.17
Honda,Model B,Sedan,2,8,M5,Z,15.28,9.43,9.04,37.21,268.75
Honda,Model C,SUV,4.9,6,A8,Z,9.35,8.99,9.25,24.38,220.64
BMW,Model C,Compact,4.7,8,A6,X,8.02,4.42,5.14,39.8,293.17
Ford,Model A,Compact,2.5,4,A8,Z,8.98,12.02,14.11,32.85,265.18
BMW,Model B,SUV,2.6,4,M6,X,7.55,9.81,6.47,38.82,175.17
Honda,Model C,Sedan,5,4,M6,X,6.43,6.22,15.05,44.68,219.32
Toyota,Model B,Truck,3.3,8,M5,X,11.29,5.21,11.39,35.37,228.43
Toyota,Model C,Truck,4.7,6,M5,Z,6.7,8.22,15.2,44.55,364.07
BMW,Model C,SUV,1.7,4,A6,X,7.58,13.21,12.59,15.87,388.27
Honda,Model B,Truck,5.3,4,A8,Z,13.21,13.52,6.07,25.14,367.9
Toyota,Model C,Sedan,4.6,8,M6,Z,7.47,10.63,14.95,18.24,315.75
Honda,Model B,Sedan,5.5,6,M5,X,5.96,12,5.91,22.87,275.5
BMW,Model C,SUV,1.7,8,A6,Z,9.76,5.27,11.22,40.17,306.78
Toyota,Model A,Sedan,4,4,M6,X,8.3,10.47,7.24,15.97,381.73
Honda,Model B,Compact,4,6,M5,X,12.73,11.34,14.78,30.61,175
Toyota,Model C,SUV,2.8,6,M6,Z,6.54,6.21,16.85,32.01,260.54
BMW,Model C,Sedan,3.3,4,A6,X,16.28,13.68,12.2,31.83,306.88
Honda,Model A,SUV,1.2,6,A6,X,18.59,6.14,11.85,29.26,303.77
Toyota,Model B,Truck,4.7,6,M6,X,16.15,7.45,14.93,38.72,175.68
BMW,Model C,Sedan,3.7,8,A8,Z,12.99,10.83,5.07,19.01,276.02
Toyota,Model A,Compact,1.3,4,M6,X,17.91,11.02,16.93,24.32,338.77
Toyota,Model C,Sedan,4.4,4,M5,Z,15.42,11.69,7.57,33.47,242.52
Ford,Model B,SUV,3.3,4,A8,Z,5.16,5.23,17.79,35.73,337.99
Ford,Model C,SUV,1.2,4,M5,X,10.91,13.34,14.57,27.12,207.96
BMW,Model C,Sedan,5.8,4,M6,X,17.76,9.86,15.07,41.26,381.63
Ford,Model C,Compact,5.7,6,A8,Z,10.19,9.18,13.53,27.46,260.18
BMW,Model C,Compact,3.6,8,M5,Z,5.53,14.79,11.13,27.08,278.78
Ford,Model A,Compact,1.5,4,M6,X,16.19,12.14,12.43,16.09,109.41
Toyota,Model A,SUV,4.8,8,M6,X,17.03,5.3,5.6,31.53,151.08
BMW,Model B,Sedan,3.5,8,A8,Z,7.41,12.32,13.11,36.26,289.88
BMW,Model A,Truck,2.5,6,M6,Z,13.06,5.05,13.14,18.43,225.96
Toyota,Model A,SUV,3.5,4,A6,Z,7.88,4.3,16.59,24.16,252.45
BMW,Model B,Compact,3.6,6,M5,Z,15.79,8.44,11.57,38.44,118.89
BMW,Model A,Sedan,3.8,4,M5,Z,9.07,14.93,6,25.98,350.24
Ford,Model A,Compact,3.2,6,M6,X,9.74,5.92,8.98,22.25,335.35
BMW,Model B,Truck,4,8,M6,Z,17.67,11.4,13.52,35.17,155.61
Honda,Model B,Compact,5.6,4,A6,Z,12.14,5.91,8.11,20.9,290.3
Toyota,Model B,Compact,2.8,8,A8,X,15.05,11.97,8.65,41.87,345.49
Ford,Model C,Truck,4.6,8,M6,X,11.04,9.56,15.67,18.17,292.26
Ford,Model C,Sedan,5.5,6,M6,Z,9.47,11.48,12.6,36.2,193.12
Honda,Model B,SUV,3.3,4,M6,Z,14.38,6.23,11.61,29.99,296.83
Toyota,Model B,Sedan,3.2,8,M6,X,7.32,12.2,9.14,41.1,163.14
Toyota,Model B,Truck,4,6,M5,Z,10.59,14.95,14.5,18.79,195.48
Ford,Model C,Compact,4,4,M6,Z,8.14,11.32,8.74,35.34,172.02
BMW,Model C,Sedan,5,4,M5,X,15.44,9.43,14.58,32.16,267.08
Ford,Model A,SUV,3.4,8,M6,Z,19.16,14.15,5.91,29.4,132.47
Toyota,Model A,Truck,6,4,A8,X,19.93,4.17,16.24,29.74,379.99
Honda,Model B,Sedan,1.3,8,A6,X,11.75,12.03,11.49,36.66,200.05
Ford,Model C,SUV,1,4,A8,X,8.79,13.78,10.7,43.13,165.69
Toyota,Model C,Truck,4.2,6,M6,X,11.64,4.68,12.94,17.74,248.96
Ford,Model C,SUV,2.5,8,M6,Z,17.71,8.95,13.11,15.59,183.1
BMW,Model B,Truck,2.2,8,M6,X,8.09,6.25,6.72,39.17,260.47
Ford,Model A,Compact,2.6,4,A8,Z,19.28,10.23,14.83,18.25,204.55
Ford,Model B,Sedan,2.3,4,M6,Z,10.13,11.14,8.59,44.6,139.62
Toyota,Model A,SUV,1.2,8,A8,Z,19.79,7.33,16.76,33.58,179.77
Toyota,Model A,Truck,5.9,4,M5,Z,17.58,9.06,15.63,34.53,231.53
Toyota,Model B,SUV,2.1,6,A6,Z,17.13,7.07,9.5,20.97,109.09
Ford,Model A,SUV,4.7,4,A6,X,9.77,8.06,15.5,22.21,331.19
BMW,Model A,Sedan,4.8,6,A8,X,5.13,5.75,9.63,34.78,286.55
Honda,Model C,Compact,5.6,6,M5,X,10.73,13.74,6.31,42.29,280.41
Honda,Model A,SUV,1.2,6,A8,X,9.53,4.11,17.5,44.47,263.81
Toyota,Model B,Truck,5.4,6,M5,Z,5.56,13.71,13.48,20.94,277.09
Toyota,Model B,Truck,3.6,6,M6,X,12.58,10.29,10.93,19.02,380.4
Ford,Model A,Compact,4.2,4,M5,Z,11.05,7.65,10.17,16.69,102.57
Honda,Model C,Truck,4.2,6,M5,Z,14.52,11.95,9.22,41.05,114.34
Toyota,Model C,Compact,5.1,4,M5,X,14.32,9.59,17.76,23.84,157.45
BMW,Model A,Truck,2.7,6,A6,X,6.81,9.49,6.75,15.05,150.19
BMW,Model A,Sedan,4.7,8,M5,X,19.65,5.21,9.09,21.71,154.36
Toyota,Model B,SUV,3.6,6,M6,X,7.8,8.28,11.31,25.21,301.58
Toyota,Model A,Sedan,5,8,M6,Z,11.68,6.65,11.21,44.73,237.84
Honda,Model C,SUV,6,6,M6,Z,12.32,4.17,11.13,30.71,397.53
Honda,Model A,SUV,2,6,M5,X,17.2,7.96,7.29,21.14,168.07
Ford,Model B,SUV,6,6,A8,Z,6.49,4.99,6.88,25.04,193.25
Honda,Model B,Sedan,1.4,8,A8,Z,11.43,6.83,8.31,24.91,395.27
BMW,Model B,SUV,1,8,M6,Z,14.43,5.02,16.89,15.59,349.53
BMW,Model B,Sedan,1.2,6,A6,X,8.23,5.11,6.47,19.06,240.94
Toyota,Model B,Compact,2.7,4,A8,Z,14.41,6.19,14.85,35.86,266.38
Honda,Model A,Truck,4.2,6,M5,X,18.85,15,14.85,18.61,352.95
Ford,Model A,Truck,1.3,8,A8,X,19.96,4.02,15.53,21.92,244.29
BMW,Model A,SUV,1,6,M6,Z,5.49,11.03,16.53,25.52,161.81
BMW,Model A,Sedan,5.7,8,A6,Z,8.53,5.55,8.42,37.73,348.53
Ford,Model B,Truck,5.1,8,A8,X,9.65,14.13,7.92,32.47,261.33
Ford,Model C,Sedan,5,8,A8,Z,10.99,5.03,11.05,35.67,145.91
BMW,Model A,Sedan,5.4,6,M6,Z,8.63,14.51,8.45,32.01,251.68
BMW,Model C,SUV,4.5,8,A6,X,8.05,10.72,14.55,35.51,223.96
Ford,Model A,Truck,1.5,8,A6,X,19.32,4.01,13.27,15.09,363.05
BMW,Model A,SUV,3,6,M6,X,18.78,13.83,16.37,42.93,137.82
Toyota,Model C,SUV,4.6,8,M5,X,5.7,9.74,6.08,18.33,362.56
Toyota,Model B,Truck,2.4,6,A8,Z,10.08,6.89,16.9,27.19,253.66
Ford,Model A,Truck,4.4,8,M5,Z,11.08,12.44,8.81,38.13,221.31
Honda,Model A,Compact,1.1,4,A8,X,8.59,14.19,11.38,28.06,148.59
Ford,Model A,Compact,2.5,4,A8,X,14.43,9.32,10.7,43.41,310.25
Ford,Model C,Sedan,3.7,8,M5,X,14.61,7.47,14.88,29.03,378.04
Honda,Model B,Truck,4.2,4,M6,Z,17.76,12.68,10.46,41.25,212.61
Honda,Model C,Compact,3.9,6,M6,X,16.11,11.5,17.27,39.32,172.48
Honda,Model C,Sedan,4.5,4,A8,Z,13.14,13.78,16.73,44.43,266.46
Toyota,Model B,Sedan,1,8,M6,X,14.8,11.62,16.34,42.8,338.86
BMW,Model C,Sedan,1.5,8,A8,X,9.11,6.68,5.93,41.94,101.13
Toyota,Model B,Compact,5.3,6,M6,X,13.9,14.25,16.11,36.95,289.41
BMW,Model A,Truck,4.4,8,A8,Z,12.34,5.15,15.16,26.01,278.95
Toyota,Model B,SUV,1.6,6,M6,Z,7,6.95,6.35,18.18,195.45
BMW,Model A,Sedan,5.2,4,A6,Z,8.64,9.72,6.4,35.66,235.43
Toyota,Model C,Compact,2.2,4,M5,X,9.38,10.22,6.32,44.36,174.09
Honda,Model C,Compact,3.4,6,A6,Z,18.86,4.17,5.15,36.8,336.97
Ford,Model A,SUV,1.7,6,M5,Z,8.46,12.59,12.13,42.86,290.36
Toyota,Model C,SUV,4.6,8,M5,X,9.34,7.98,17.65,39.13,259.81
BMW,Model B,Compact,4.3,4,A8,X,10.54,8.47,10.7,19.89,217.76
Honda,Model A,Truck,2.1,6,M5,Z,14.96,12.9,12.03,22.48,187.42
Toyota,Model C,SUV,5.3,4,A6,Z,6.77,8.17,17.58,25.26,346.82
Toyota,Model A,Compact,3,6,A6,Z,19.31,4.52,8.32,20.05,235.42
Honda,Model B,SUV,2.5,4,M6,Z,17.98,5.94,16.16,32.45,250.43
Toyota,Model B,Truck,1.8,8,A6,X,13.66,14.51,12.1,44.26,256.25
Ford,Model C,Sedan,2.3,4,M6,X,15.11,4.77,12.4,37.84,234.51
Toyota,Model B,SUV,1.1,4,M5,X,5.25,7.9,9.46,27.7,176.83
Ford,Model A,Truck,3.9,4,A6,Z,10.08,9.53,12.3,15.14,136.1
Ford,Model B,Compact,5.2,4,M5,Z,16.93,9.43,5.95,24.4,129.56
Honda,Model A,SUV,3.7,4,A6,X,6.16,4.04,14.94,30.8,327.24
Toyota,Model A,SUV,2.1,8,A6,X,9.23,9.51,8.7,24.73,167.06
Honda,Model B,Compact,1.2,6,M6,Z,13.78,8.22,16.54,18.33,116.7
Toyota,Model C,Sedan,2.1,4,M5,Z,8.85,14.69,9.78,28.28,339.26
Toyota,Model B,Compact,3.1,8,A6,X,19.01,5.75,6.86,22.6,146.22
BMW,Model A,SUV,4.8,4,A8,X,6.97,7.9,14.05,42.28,287.54
Toyota,Model A,Compact,1.9,4,M5,X,16.96,8.61,7.14,18.05,201.59
Honda,Model B,Truck,4.6,6,M5,Z,12.62,8.3,14.8,16.47,137.94
